Number of Iterations, Accuracy 
200, 0.73557692 
400, 0.75480769 
600, 0.84134615 
800, 0.85096154 
1000, 0.87019231 
1200, 0.84615385 
1400, 0.88942308 
1600, 0.87980769 
1800, 0.83653846 
2000, 0.89423077 
2200, 0.78365385 
2400, 0.89423077 
2600, 0.90865385 
2800, 0.89423077 
3000, 0.83653846 
3200, 0.89423077 
3400, 0.88461538 
3600, 0.89423077 
3800, 0.90384615 
4000, 0.83173077 
4200, 0.78365385 
4400, 0.77403846 
4600, 0.83653846 
4800, 0.89903846 
5000, 0.90865385 
5200, 0.89423077 
5400, 0.86057692 
5600, 0.76923077 
5800, 0.88942308 
6000, 0.88942308 
6200, 0.90384615 
6400, 0.84615385 
6600, 0.89903846 
6800, 0.90865385 
7000, 0.91826923 
7200, 0.83173077 
7400, 0.87019231 
7600, 0.79326923 
7800, 0.79326923 
8000, 0.78846154 
8200, 0.89903846 
8400, 0.91346154 
8600, 0.82211538 
8800, 0.8125 
9000, 0.91826923 
9200, 0.88461538 
9400, 0.82211538 
9600, 0.88942308 
9800, 0.92307692 
10000, 0.91826923 
10200, 0.8125 
10400, 0.875 
10600, 0.85096154 
10800, 0.89903846 
11000, 0.89903846 
11200, 0.82692308 
11400, 0.89903846 
11600, 0.91826923 
11800, 0.92307692 
12000, 0.80769231 
12200, 0.85096154 
12400, 0.82211538 
12600, 0.92307692 
12800, 0.87019231 
13000, 0.89423077 
13200, 0.91826923 
13400, 0.90384615 
13600, 0.88942308 
13800, 0.88461538 
14000, 0.88942308 
14200, 0.82692308 
14400, 0.82211538 
14600, 0.875 
14800, 0.87980769 
15000, 0.81730769 
15200, 0.82211538 
15400, 0.83173077 
15600, 0.8125 
15800, 0.89903846 
16000, 0.92307692 
16200, 0.82692308 
16400, 0.83653846 
16600, 0.93269231 
16800, 0.91826923 
17000, 0.92788462 
17200, 0.92307692 
17400, 0.84134615 
17600, 0.80769231 
17800, 0.92307692 
18000, 0.92788462 
18200, 0.9375 
18400, 0.87980769 
18600, 0.85096154 
18800, 0.91346154 
19000, 0.81730769 
19200, 0.93269231 
19400, 0.90865385 
19600, 0.83653846 
19800, 0.93269231 
20000, 0.88461538 
20200, 0.91826923 
20400, 0.92307692 
20600, 0.89903846 
20800, 0.83173077 
21000, 0.85096154 
21200, 0.91346154 
21400, 0.87019231 
21600, 0.91826923 
21800, 0.89903846 
22000, 0.92307692 
22200, 0.92788462 
22400, 0.91346154 
22600, 0.91346154 
22800, 0.84134615 
23000, 0.92307692 
23200, 0.94711538 
23400, 0.90384615 
23600, 0.91826923 
23800, 0.88942308 
24000, 0.84134615 
24200, 0.93269231 
24400, 0.84615385 
24600, 0.85096154 
24800, 0.84134615 
25000, 0.84134615 
25200, 0.85576923 
25400, 0.94230769 
25600, 0.93269231 
25800, 0.9375 
26000, 0.93269231 
26200, 0.92788462 
26400, 0.91826923 
26600, 0.89423077 
26800, 0.9375 
27000, 0.94230769 
27200, 0.94711538 
27400, 0.9375 
27600, 0.89423077 
27800, 0.92788462 
28000, 0.92307692 
28200, 0.86057692 
28400, 0.83653846 
28600, 0.94711538 
28800, 0.94230769 
29000, 0.84134615 
29200, 0.96153846 
29400, 0.90865385 
29600, 0.84134615 
29800, 0.95673077 
30000, 0.94230769 
30200, 0.96153846 
30400, 0.92788462 
30600, 0.94230769 
30800, 0.85576923 
31000, 0.89903846 
31200, 0.86057692 
31400, 0.90384615 
31600, 0.92788462 
31800, 0.91826923 
32000, 0.89903846 
